ID,Name (ger),Name (eng),Name (fre),Farbcode
,Schwarz,Black,Noir,#000000
,Weiß,White,Blanc,#FFFFFF
,Rot,Red,Rouge,#FF0000
,Grün,Green,Vert,#00FF00
,Blau,Blue,Bleu,#0000FF
,Gelb,Yellow,Jaune,#FFFF00
,Orange,Orange,Orange,#FFA500
,Lila,Purple,Violet,#800080
,Rosa,Pink,Rose,#FFC0CB
,Grau,Gray,Gris,#808080
,Cyan,Cyan,Cyan,#00FFFF
,Magenta,Magenta,Magenta,#FF00FF
,Braun,Brown,Marron,#A52A2A
,Beige,Beige,Beige,#F5F5DC
,Olivgrün,Olive,Olive,#808000
